,2012,2013,2014,2015,2016,2017
6113000041,395,243,83,0,0,0
6113014566,2,0,0,0,16,0
6123005240,1,10,4,1,1,0
6132000946,0,0,0,4,2,0
6134010499,0,0,0,0,0,0
6136006177,3,4,1,4,5,2
6152000817,1,0,2,4,4,2
6162027536,5,3,8,7,18,2
6162041178,0,0,0,0,0,0
6162044972,26,18,31,16,10,3
6162058728,0,0,0,0,0,0
6162058742,0,0,0,0,1,0
6162058750,0,0,0,0,0,0
6163002069,18,3,5,6,6,1
6163012571,2,0,0,3,0,0
6163026503,0,0,0,2,1,2
6163063576,0,0,0,0,0,0
6163087104,0,0,0,0,0,0
6163089292,1633,2418,826,1587,1340,1060
6163092778,2,0,0,126,0,0
6164240637,0,2,0,1,4,0
6164272445,0,0,0,0,0,0
6165076274,2,1,1,0,0,0
6165079035,1,0,0,0,0,0
6165080619,0,0,0,0,0,0
6165109160,0,0,0,0,0,0
6165129230,0,0,0,0,0,0
6165140924,0,0,0,0,0,0
6165155494,0,0,0,7,3,0
6165186460,0,0,0,0,0,0
6166013439,16,2,1,8,2,0
6166019871,0,0,0,0,0,0
6166034397,0,0,0,0,0,0
6166048181,1,0,0,50,6,0
6166050695,0,0,0,0,0,0
6166059031,2,0,0,14,23,1
6167037150,0,0,0,0,0,0
6167044609,0,0,0,1,0,0
6167059010,0,0,0,9,14,2
6167059718,1544,551,41,36,2,0
6167065535,0,0,0,0,0,0
6167106693,0,15,0,4,4,0
6168004976,0,0,0,0,0,0
6168059319,0,0,0,0,0,0
6168069772,0,0,0,0,0,0
6204000507,8,6,3,2,3,0
6204001821,12,13,8,2,0,0
6208000498,0,0,0,0,0,0
6213009640,1,0,0,4,7,1
6213010452,0,0,1,0,0,0
6215020431,0,0,0,0,0,0
6221002007,16,24,53,14,15,0
6227003906,1,0,3,5,4,0
6229054913,1,0,0,0,0,0
6229056526,0,0,0,0,0,0
6229069356,0,0,0,0,0,0
6230045102,1,1,4,1,1,0
6230051890,0,0,0,0,0,0
6230061200,0,0,0,0,0,0
6231054910,0,0,0,0,0,0
6234006224,0,0,0,0,0,0
6234006538,92,101,3,8,6,2
6234016920,26,40,11,0,0,0
6234040962,0,0,0,0,0,0
6234094140,0,0,0,0,0,0
6234096820,4,0,1,0,1,0
6234116481,0,0,0,0,0,0
6234145644,0,0,0,0,0,0
6311118542,0,0,0,0,0,0
6312040240,19,13,1,2,3,1
6312129459,0,0,0,0,0,0
6313000240,0,0,8,5,0,0
6313034520,5,5,3,29,35,2
6314006438,0,0,0,0,0,0
6315946272,0,0,0,0,0,0
6316178168,0,9,1,45,81,35
6318135160,0,0,0,0,0,0
6319024310,27,0,0,0,0,0
6367057404,0,0,0,0,0,0
6381011176,6,1,0,0,0,0
6441021608,0,0,0,0,1,0
6450062914,0,0,0,0,0,0
6454091391,1,0,0,1,0,0
6501118452,0,0,0,0,0,0
6501150223,2,3,7,22,0,0
6501213829,1,0,0,0,0,0
6511000731,9,18,39,23,25,2
6515002391,0,0,0,0,0,0
6621003100,0,0,0,0,0,0
6621013540,0,0,0,0,0,0
6658428660,0,1,0,0,0,0
6670082105,1829,3070,111,56,6,2
6670362470,0,0,0,0,0,0
6671335486,0,0,0,0,0,0
6672143610,0,0,0,0,0,0
6726001213,0,25,56,141,94,8
6730066076,0,0,0,0,0,0
6731040916,0,0,0,0,0,0
6732008087,0,1,0,0,0,1
6829017409,0,0,0,0,0,0
6831023590,0,0,0,0,0,0
6832034179,4,0,0,0,0,0
6901015596,0,0,0,0,0,0
6942007548,0,0,0,0,0,0
6950022003,0,0,0,0,0,0
6950137967,0,0,0,0,0,0
